"Color (R, G, B)",Count
"(np.int64(91), np.int64(73), np.int64(70))",169
"(np.int64(152), np.int64(115), np.int64(106))",129
"(np.int64(49), np.int64(43), np.int64(45))",121
"(np.int64(173), np.int64(171), np.int64(164))",97
"(np.int64(208), np.int64(211), np.int64(214))",83
"(np.int64(26), np.int64(23), np.int64(22))",48
"(np.int64(122), np.int64(152), np.int64(195))",38
"(np.int64(62), np.int64(90), np.int64(112))",37
"(np.int64(230), np.int64(229), np.int64(222))",31
"(np.int64(223), np.int64(162), np.int64(143))",25
