"Color (R, G, B)",Count
"(np.int64(34), np.int64(34), np.int64(34))",33
"(np.int64(173), np.int64(170), np.int64(171))",26
"(np.int64(116), np.int64(99), np.int64(101))",25
"(np.int64(109), np.int64(89), np.int64(59))",19
"(np.int64(0), np.int64(0), np.int64(0))",16
"(np.int64(212), np.int64(211), np.int64(211))",15
"(np.int64(137), np.int64(126), np.int64(116))",11
"(np.int64(35), np.int64(97), np.int64(150))",7
"(np.int64(242), np.int64(242), np.int64(242))",6
"(np.int64(199), np.int64(191), np.int64(177))",4
