"Color (R, G, B)",Count
"(np.int64(135), np.int64(104), np.int64(92))",28
"(np.int64(179), np.int64(162), np.int64(149))",28
"(np.int64(221), np.int64(211), np.int64(198))",25
"(np.int64(188), np.int64(146), np.int64(115))",23
"(np.int64(84), np.int64(48), np.int64(30))",20
"(np.int64(22), np.int64(9), np.int64(7))",16
"(np.int64(141), np.int64(93), np.int64(62))",16
"(np.int64(84), np.int64(59), np.int64(55))",14
"(np.int64(121), np.int64(119), np.int64(111))",8
"(np.int64(170), np.int64(187), np.int64(207))",5
