"Color (R, G, B)",Count
"(np.int64(192), np.int64(194), np.int64(189))",74
"(np.int64(57), np.int64(53), np.int64(49))",60
"(np.int64(139), np.int64(137), np.int64(133))",55
"(np.int64(106), np.int64(104), np.int64(99))",47
"(np.int64(165), np.int64(165), np.int64(160))",9
"(np.int64(27), np.int64(25), np.int64(25))",8
"(np.int64(223), np.int64(223), np.int64(222))",5
"(np.int64(206), np.int64(201), np.int64(179))",3
"(np.int64(196), np.int64(201), np.int64(208))",2
"(np.int64(112), np.int64(55), np.int64(65))",2
