"Color (R, G, B)",Count
"(np.int64(175), np.int64(179), np.int64(185))",329
"(np.int64(77), np.int64(74), np.int64(76))",304
"(np.int64(133), np.int64(136), np.int64(142))",267
"(np.int64(51), np.int64(50), np.int64(57))",146
"(np.int64(254), np.int64(254), np.int64(254))",137
"(np.int64(2), np.int64(1), np.int64(1))",117
"(np.int64(193), np.int64(199), np.int64(205))",100
"(np.int64(105), np.int64(105), np.int64(108))",89
"(np.int64(230), np.int64(230), np.int64(230))",34
"(np.int64(162), np.int64(90), np.int64(44))",33
