"Color (R, G, B)",Count
"(np.int64(42), np.int64(28), np.int64(12))",106
"(np.int64(151), np.int64(127), np.int64(98))",83
"(np.int64(100), np.int64(64), np.int64(37))",71
"(np.int64(224), np.int64(209), np.int64(186))",57
"(np.int64(78), np.int64(93), np.int64(70))",45
"(np.int64(175), np.int64(195), np.int64(184))",38
"(np.int64(220), np.int64(236), np.int64(240))",22
"(np.int64(84), np.int64(139), np.int64(202))",18
"(np.int64(43), np.int64(51), np.int64(40))",18
"(np.int64(163), np.int64(182), np.int64(173))",18
