"Color (R, G, B)",Count
"(np.int64(33), np.int64(27), np.int64(28))",366
"(np.int64(172), np.int64(167), np.int64(161))",338
"(np.int64(142), np.int64(105), np.int64(92))",285
"(np.int64(229), np.int64(226), np.int64(219))",268
"(np.int64(76), np.int64(63), np.int64(62))",257
"(np.int64(127), np.int64(119), np.int64(113))",87
"(np.int64(213), np.int64(206), np.int64(195))",65
"(np.int64(241), np.int64(234), np.int64(226))",51
"(np.int64(205), np.int64(162), np.int64(124))",36
"(np.int64(144), np.int64(89), np.int64(65))",24
