"Color (R, G, B)",Count
"(np.int64(96), np.int64(97), np.int64(76))",13
"(np.int64(37), np.int64(51), np.int64(26))",10
"(np.int64(234), np.int64(230), np.int64(217))",8
"(np.int64(197), np.int64(201), np.int64(197))",8
"(np.int64(173), np.int64(158), np.int64(135))",7
"(np.int64(88), np.int64(103), np.int64(111))",4
"(np.int64(120), np.int64(127), np.int64(125))",3
"(np.int64(42), np.int64(60), np.int64(74))",2
"(np.int64(82), np.int64(143), np.int64(196))",1
"(np.int64(248), np.int64(249), np.int64(245))",1
