"Color (R, G, B)",Count
"(np.int64(184), np.int64(180), np.int64(170))",115
"(np.int64(115), np.int64(124), np.int64(105))",99
"(np.int64(17), np.int64(17), np.int64(16))",70
"(np.int64(91), np.int64(88), np.int64(78))",58
"(np.int64(53), np.int64(51), np.int64(46))",40
"(np.int64(149), np.int64(148), np.int64(136))",38
"(np.int64(200), np.int64(200), np.int64(199))",36
"(np.int64(175), np.int64(167), np.int64(126))",9
"(np.int64(91), np.int64(107), np.int64(156))",8
"(np.int64(212), np.int64(223), np.int64(243))",7
