"Color (R, G, B)",Count
"(np.int64(155), np.int64(153), np.int64(142))",80
"(np.int64(196), np.int64(195), np.int64(191))",71
"(np.int64(73), np.int64(70), np.int64(63))",66
"(np.int64(21), np.int64(21), np.int64(20))",59
"(np.int64(114), np.int64(120), np.int64(102))",52
"(np.int64(212), np.int64(222), np.int64(242))",8
"(np.int64(165), np.int64(157), np.int64(115))",8
"(np.int64(135), np.int64(131), np.int64(85))",5
"(np.int64(146), np.int64(110), np.int64(77))",5
"(np.int64(198), np.int64(190), np.int64(151))",4
