"Color (R, G, B)",Count
"(np.int64(92), np.int64(80), np.int64(68))",350
"(np.int64(156), np.int64(133), np.int64(110))",323
"(np.int64(205), np.int64(193), np.int64(170))",321
"(np.int64(43), np.int64(36), np.int64(41))",274
"(np.int64(223), np.int64(218), np.int64(204))",109
"(np.int64(190), np.int64(180), np.int64(159))",62
"(np.int64(126), np.int64(109), np.int64(89))",52
"(np.int64(12), np.int64(12), np.int64(10))",49
"(np.int64(245), np.int64(244), np.int64(242))",26
"(np.int64(130), np.int64(127), np.int64(127))",26
