"Color (R, G, B)",Count
"(np.int64(84), np.int64(86), np.int64(101))",239
"(np.int64(215), np.int64(219), np.int64(219))",203
"(np.int64(57), np.int64(59), np.int64(71))",187
"(np.int64(124), np.int64(125), np.int64(131))",185
"(np.int64(43), np.int64(31), np.int64(32))",154
"(np.int64(193), np.int64(168), np.int64(144))",83
"(np.int64(204), np.int64(150), np.int64(121))",79
"(np.int64(146), np.int64(104), np.int64(85))",59
"(np.int64(241), np.int64(235), np.int64(223))",49
"(np.int64(83), np.int64(47), np.int64(31))",43
