"Color (R, G, B)",Count
"(np.int64(186), np.int64(162), np.int64(150))",174
"(np.int64(106), np.int64(100), np.int64(107))",134
"(np.int64(249), np.int64(249), np.int64(249))",79
"(np.int64(21), np.int64(15), np.int64(18))",77
"(np.int64(32), np.int64(45), np.int64(76))",47
"(np.int64(233), np.int64(228), np.int64(227))",45
"(np.int64(108), np.int64(93), np.int64(80))",43
"(np.int64(178), np.int64(151), np.int64(129))",28
"(np.int64(206), np.int64(182), np.int64(163))",23
"(np.int64(190), np.int64(107), np.int64(93))",22
