"Color (R, G, B)",Count
"(np.int64(39), np.int64(35), np.int64(35))",93
"(np.int64(111), np.int64(102), np.int64(99))",66
"(np.int64(184), np.int64(186), np.int64(188))",49
"(np.int64(145), np.int64(143), np.int64(146))",41
"(np.int64(72), np.int64(64), np.int64(61))",31
"(np.int64(244), np.int64(245), np.int64(245))",22
"(np.int64(219), np.int64(218), np.int64(218))",9
"(np.int64(199), np.int64(150), np.int64(113))",7
"(np.int64(157), np.int64(211), np.int64(247))",2
"(np.int64(201), np.int64(191), np.int64(174))",2
